"","d__Archaea_unassigned","d__Bacteria_unassigned","d__Eukaryota_unassigned","p__Abditibacteriota","p__Acidobacteriota","p__Actinobacteriota","p__Aenigmarchaeota","p__Armatimonadota","p__Asgardarchaeota","p__Bacteroidota","p__Bdellovibrionota","p__Campilobacterota","p__Chloroflexi","p__Cyanobacteria","p__Dadabacteria","p__Deferribacterota","p__Deinococcota","p__Dependentiae","p__Desulfobacterota","p__Elusimicrobiota","p__Euryarchaeota","p__Fibrobacterota","p__Firmicutes","p__Fusobacteriota","p__Gemmatimonadota","p__Halobacterota","p__Methylomirabilota","p__Myxococcota","p__Nitrospinota","p__Nitrospirota","p__Patescibacteria","p__Planctomycetota","p__Proteobacteria","p__SAR324_clade.Marine_group_B.","p__Spirochaetota","p__Sumerlaeota","p__Synergistota","p__Thermoplasmatota","p__Thermotogota","p__Verrucomicrobiota","p__WOR.1","p__WPS.2","p__WS2","Unassigned_unassigned"
"ba811.641000060.r.bal",0,0,0,0,0,11999,0,0,0,168219,0,10050,0,0,0,0,0,0,0,0,0,0,65901,22378,0,0,0,0,0,0,5088,0,6532,0,2,0,0,0,0,0,0,0,0,0
"ba844.641000775.r.bal",0,0,0,0,0,33721,0,0,0,41721,0,6859,0,0,0,0,0,0,0,0,0,0,66389,22265,0,0,0,0,0,0,998,0,1564,0,164,0,0,0,0,0,0,0,0,0
"ba540.641000784.r.bal",0,0,0,0,0,823,0,0,0,5326,0,168,0,0,0,0,0,0,0,0,0,0,7290,101,0,0,0,0,0,0,9,0,6719,0,0,0,0,0,0,0,0,0,0,0
"ba807.641000819.r.bal",0,0,0,0,12,217,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,1534,25,0,0,0,0,0,0,12,0,565,0,0,0,0,0,0,0,0,0,0,0
"ba810.641000826.r.bal",0,0,0,0,0,14500,0,0,0,7373,0,3,0,0,0,0,0,0,0,0,0,0,57093,1570,0,0,0,0,0,0,0,0,108170,0,4,0,0,0,0,0,0,0,0,0
"ba546.641000829.r.bal",0,0,0,0,0,4863,0,0,0,7758,0,501,0,4,0,0,0,0,0,0,0,0,10060,503,0,0,0,3,0,0,118,0,1230,0,0,0,0,0,0,0,0,0,0,0
"ba808.641000830.r.bal",0,0,0,0,0,12115,0,0,0,58722,0,2872,0,0,0,0,0,0,0,0,0,0,29660,8324,0,0,0,0,0,0,187,0,8806,0,31,0,11,0,0,0,0,0,0,0
"ba831.641000835.r.bal",0,0,0,0,0,36188,0,0,0,105132,2,6865,0,2,0,0,0,0,0,0,0,0,87331,12645,0,0,0,0,0,0,545,0,119537,0,17,0,0,0,0,0,0,0,0,0
"ba528.641000838.r.bal",0,0,0,0,0,2491,0,0,0,4793,0,129,0,0,0,0,0,0,0,0,0,0,5505,4038,0,0,0,0,0,0,22,0,12105,0,0,0,0,0,0,0,0,0,0,0
"ba276.641000840.r.bal",0,0,0,0,0,21184,0,0,0,11359,0,382,0,0,0,0,0,0,0,0,0,0,28406,1055,0,0,0,0,0,0,116,0,131,0,10,0,0,0,0,0,0,0,0,0
"ba588.641000850.r.bal",0,0,0,0,0,3199,0,0,0,3238,0,89,0,0,0,0,0,0,0,0,0,0,6066,96,0,0,0,0,0,0,247,0,328,0,0,0,0,0,0,0,0,0,0,0
"ba595.641000876.r.bal",0,0,0,0,0,526,0,0,0,3655,0,413,0,0,0,0,0,0,0,0,0,0,5470,298,0,0,0,0,0,0,5,0,9236,0,0,0,0,0,0,0,0,0,0,0
"ba600.641000883.r.bal",0,0,0,0,0,7415,0,0,0,1785,0,70,0,0,0,0,0,0,0,0,0,0,7111,1508,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"ba606.641000884.r.bal",0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,134,27,0,0,0,0,0,0,0,0,1381,0,0,0,0,0,0,0,0,0,0,0
"ba809.641000890.r.bal",0,0,0,0,0,4657,0,0,0,6550,0,83,0,17,0,0,0,0,0,0,0,0,21545,809,0,0,0,0,0,0,0,0,13344,0,37,0,0,0,0,0,0,0,0,0
"ba564.641000895.r.bal",0,0,0,0,0,1527,0,0,0,8108,0,83,0,0,0,0,0,0,0,0,0,0,11335,1779,0,0,0,0,0,0,2,0,3291,0,48,0,0,0,0,0,0,0,0,0
"ba739.641000898.r.bal",0,0,0,0,0,2332,0,0,0,1305,0,93,0,17,0,0,10,0,0,0,0,0,7382,103,0,0,0,0,0,0,93,0,288,0,0,0,0,0,0,0,0,0,0,0
"ba375.641000922.r.bal",0,0,0,0,0,640,0,0,0,9335,0,138,0,0,0,0,0,0,0,0,0,0,5304,1533,0,0,0,0,0,0,33,0,406,0,142,0,14,0,0,0,0,0,0,0
"ba822.641000935.r.bal",0,0,0,0,0,26825,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,166217,0,0,0,0,0,0,0,0,0,6228,0,0,0,0,0,0,0,0,0,0,0
"ba832.641000936.r.bal",0,0,0,0,5,27327,0,0,0,51449,0,5654,0,0,0,0,0,0,0,0,0,0,49071,4038,0,0,0,0,0,0,340,0,70018,0,0,0,0,0,0,0,0,0,0,0
"ba557.641000937.r.bal",0,0,0,0,0,876,0,0,0,2311,0,0,0,0,0,0,0,0,2,0,0,0,18036,604,0,0,0,0,0,0,55,0,47,0,26,0,0,0,0,0,0,0,0,0
"ba569.641000939.r.bal",0,0,0,0,0,1511,0,0,0,9034,0,206,0,0,0,0,0,0,0,0,0,0,7563,5162,0,0,0,0,0,0,152,0,11025,0,5,0,0,0,0,0,0,0,0,0
"ba813.641000950.r.bal",0,5,0,0,0,1361,0,0,0,26765,0,718,3,0,0,0,0,0,0,0,0,0,15256,3509,0,0,0,0,0,0,265,0,39416,0,11,0,0,0,0,0,0,0,0,0
"ba630.641000965.r.bal",0,0,0,0,0,1587,0,0,0,8606,0,207,0,0,0,0,0,0,0,0,0,0,6898,5627,0,0,0,0,0,0,99,0,7695,0,0,0,0,0,0,0,0,0,0,0
"ba823.641000968.r.bal",0,2,0,0,0,45846,0,0,0,105870,0,1437,0,0,0,0,0,0,0,0,0,0,86317,1307,0,0,0,0,0,0,227,0,52870,0,29,0,4,0,0,0,0,0,0,0
"ba635.641000982.r.bal",0,0,0,0,0,169,0,0,0,20,0,0,0,42,0,0,0,0,0,0,0,0,16180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ba827.641000984.r.bal",0,0,0,0,0,305,0,0,0,1059,0,22,0,0,0,0,0,0,0,0,0,0,2908,35,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0
"ba829.641000990.r.bal",0,0,0,0,0,2975,0,0,0,11273,0,1354,0,0,0,0,0,0,0,0,0,0,25545,1723,0,0,0,0,0,0,694,0,73397,0,0,0,0,0,0,0,0,0,0,0
"ba815.641000998.r.bal",0,0,0,0,0,28146,0,0,0,36245,0,3390,0,25,0,0,0,0,0,0,0,0,133578,5624,0,0,0,0,0,0,839,0,64697,0,2,0,0,0,0,0,0,0,0,0
"ba648.641001005.r.bal",0,0,0,0,0,7251,0,0,0,5859,0,600,0,0,0,0,0,0,0,0,0,0,10058,35,0,0,0,0,0,0,277,0,5941,0,0,0,0,0,0,0,0,0,0,0
"ba653.641001015.r.bal",0,0,0,0,0,2148,0,0,0,3143,0,37,0,0,0,0,0,0,0,0,0,0,7245,819,0,0,0,0,0,0,17,0,9520,0,9,0,0,0,0,0,0,0,0,0
"ba612.641001016.r.bal",0,0,0,0,0,6152,0,0,0,10578,0,43,0,0,0,0,0,0,0,0,0,0,3234,453,0,0,0,0,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0
"ba717.641001031.r.bal",0,0,0,0,0,2617,0,0,0,6283,0,49,0,0,0,0,0,0,0,0,0,0,4786,1265,0,0,0,0,0,0,47,0,2568,0,0,0,0,0,0,0,0,0,0,0
"ba842.641001033.r.bal",0,0,0,0,0,50936,0,0,0,137443,0,17710,0,0,0,0,5,0,0,0,0,0,118475,19344,0,0,0,0,0,0,6983,0,53706,0,4283,0,30,0,0,0,0,0,0,0
"ba838.641001061.r.bal",0,4,0,0,0,5776,0,0,0,35940,0,1600,0,11,0,0,0,0,0,0,0,0,18481,458,0,0,0,0,0,0,38,0,922,0,49,0,21,0,0,0,0,0,0,0
"ba834.641001062.r.bal",0,0,0,0,0,32138,0,0,0,68617,0,739,0,0,0,0,0,0,943,0,0,0,83253,3714,0,0,0,0,0,0,1536,0,48868,0,813,0,279,0,0,0,0,0,0,0
"ba830.641001064.r.bal",0,0,0,0,0,15365,0,0,0,89140,2,1669,0,0,0,0,0,0,0,0,0,4,24773,5480,0,0,0,0,0,0,5,0,14357,0,0,0,0,0,0,0,0,0,0,0
"ba824.641001066.r.bal",0,0,0,0,0,6128,0,0,0,20593,0,1124,0,0,0,0,0,0,0,0,0,0,21215,1880,0,0,0,0,0,0,2584,0,38361,0,23,0,0,0,0,0,0,0,0,0
"ba843.641001068.r.bal",0,0,0,0,0,3483,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,11162,117,0,0,0,0,0,0,0,0,17005,0,0,0,0,0,0,0,0,0,0,0
"ba833.641001069.r.bal",0,0,0,0,0,58136,0,0,0,98201,0,3247,0,0,0,0,0,0,0,0,0,0,53346,308,0,0,0,0,0,0,496,0,28129,0,8,0,0,0,0,0,0,0,0,0
"ba826.641001076.r.bal",0,0,0,0,0,13814,0,0,0,37085,0,1131,0,0,0,0,0,0,0,0,0,0,66614,12170,0,0,0,0,0,0,1788,0,68563,0,360,0,28,0,0,0,0,0,0,0
"ba836.641001087.r.bal",0,0,2,0,2,244,0,0,0,302,0,17,0,0,0,0,0,0,0,0,0,0,955,36,0,0,0,0,0,0,30,0,3073,0,0,0,0,0,0,0,0,0,0,5
"ba845.641001113.r.bal",0,0,0,0,0,29491,0,0,0,54507,5,1308,0,0,0,0,0,0,2,0,0,0,152159,190,0,0,0,0,0,0,0,0,773,0,0,0,4,0,0,0,0,0,0,0
"ba840.641001126.r.bal",0,0,0,0,0,54692,0,0,0,28606,0,378,0,0,0,0,0,0,0,0,0,0,59685,5417,0,0,0,0,0,0,2914,0,252334,0,182,0,25,0,0,0,0,0,0,0
"ba841.641001140.r.bal",0,0,0,0,0,29041,0,0,0,132065,0,3407,0,0,0,0,0,0,7,0,0,0,23730,2560,0,0,0,0,0,0,1101,0,57901,0,29,0,7,0,0,0,0,0,0,0
"ba839.641001141.r.bal",0,0,0,0,0,4811,0,0,0,55502,0,527,0,0,0,0,5,0,0,0,0,0,83948,724,0,0,0,0,0,0,42,0,321,0,0,0,0,0,0,0,0,0,0,22
"ba847.641001195.r.bal",0,0,0,0,0,10710,0,0,0,34279,0,941,0,0,0,0,0,0,0,0,0,0,21848,15960,0,0,0,0,0,0,2986,0,21578,0,0,0,0,0,0,0,0,0,0,0
"ba804.64710000090.r.bal",0,0,0,0,0,26792,0,0,0,50937,0,3596,0,0,0,0,0,0,0,0,0,0,66537,16125,0,0,0,0,0,0,636,0,6198,0,10,0,34,0,0,0,0,0,0,0
"ba805.64710000106.r.bal",0,2,0,0,0,41,0,0,0,369,0,5,0,8,0,0,0,0,0,0,0,0,639,72,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,2
"ba278.641000068.r.bal",0,0,0,0,0,164,0,0,0,49523,0,2047,0,0,0,0,0,0,0,0,0,0,10420,2192,0,0,0,0,0,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0
"ba818.641000072.r.bal",0,0,0,0,0,5456,0,0,0,45180,0,7940,0,0,0,0,0,0,0,0,0,0,43187,22801,0,0,0,0,0,0,263,0,18304,0,4592,0,1771,0,0,0,0,0,0,0
"ba335.641000782.r.bal",0,0,0,0,0,16733,0,0,0,22092,0,70,0,0,0,0,0,0,0,0,0,0,17277,111,0,0,0,0,0,0,1659,0,32,0,12,0,0,0,0,0,0,0,0,0
