sample,Unassigned,d__Eukaryota,d__Bacteria,d__Archaea
B1,0,0,12,0
B10,0,0,10,0
B11,0,0,120,0
B12,0,0,81,0
B13,0,0,372,0
B14,0,0,74,0
B2,0,0,686,0
B3,0,0,50,0
B4,0,0,30,0
B5,0,0,23,0
B6,0,0,73,0
B7,0,0,26,0
B8,0,0,200,0
B9,0,0,73,0
ba002.641000068.6w.bal.rep1,0,0,8,0
ba002.641000068.6w.bal.rep2,0,0,43,0
ba002.641000068.6w.bal.rep3,0,0,29713,0
ba006.641000068.6m.bal.rep2,0,0,31,0
ba006.641000068.6m.bal.rep3,5,0,267,0
ba009.641000074.pw.prewash.rep1,0,0,1,0
ba009.641000074.pw.prewash.rep2,0,0,317,0
ba009.641000074.pw.prewash.rep3,0,0,0,0
ba010.641000074.3m.bal.rep1,0,0,25647,0
ba010.641000074.3m.bal.rep2,0,0,29348,0
ba010.641000074.3m.bal.rep3,0,0,11,0
ba012.641000074.6m.bal.rep1,0,0,14852,0
ba012.641000074.6m.bal.rep2,0,0,19300,0
ba012.641000074.6m.bal.rep3,0,0,13390,0
ba014.641000079.6w.bal.rep1,0,0,15668,0
ba014.641000079.6w.bal.rep2,0,0,8696,0
ba014.641000079.6w.bal.rep3,0,0,27066,0
ba016.641000079.3m.bal.rep1,0,0,22,0
ba016.641000079.3m.bal.rep2,0,0,160,0
ba016.641000079.3m.bal.rep3,0,0,273,0
ba018.641000079.6m.bal.rep1,0,0,1319,0
ba018.641000079.6m.bal.rep2,0,0,21224,0
ba018.641000079.6m.bal.rep3,0,0,17117,0
ba020.641000084.3m.bal.rep1,0,0,145,0
ba020.641000084.3m.bal.rep2,0,0,19791,0
ba020.641000084.3m.bal.rep3,0,0,18261,0
ba021.641000084.pw.prewash.rep1,0,0,0,0
ba021.641000084.pw.prewash.rep2,0,0,26,0
ba021.641000084.pw.prewash.rep3,0,0,62,0
ba022.641000084.3m.bal.rep1,0,0,25309,0
ba022.641000084.3m.bal.rep2,0,0,12622,0
ba022.641000084.3m.bal.rep3,0,0,22451,0
ba024.641000084.6m.bal.rep1,0,0,25195,0
ba024.641000084.6m.bal.rep2,0,0,22172,0
ba024.641000084.6m.bal.rep3,0,0,10415,0
ba026.641000817.6w.bal.rep1,0,0,8957,0
ba026.641000817.6w.bal.rep2,0,0,8949,0
ba026.641000817.6w.bal.rep3,0,0,4473,0
ba027.641000817.pw.prewash.rep2,0,0,71,0
ba027.641000817.pw.prewash.rep3,0,0,0,0
ba028.641000817.3m.bal.rep1,0,0,4687,0
ba028.641000817.3m.bal.rep2,0,0,18597,0
ba028.641000817.3m.bal.rep3,0,0,6918,0
ba030.641000817.6m.bal.rep1,0,0,7801,0
ba030.641000817.6m.bal.rep2,0,0,26022,0
ba030.641000817.6m.bal.rep3,0,0,7953,0
ba032.641000806.3m.bal.rep2,0,0,81,0
ba032.641000806.3m.bal.rep3,0,0,1145,0
ba033.641000806.pw.prewash.rep1,0,0,12,0
ba033.641000806.pw.prewash.rep2,0,0,38,0
ba033.641000806.pw.prewash.rep3,0,0,8,0
ba034.641000806.6m.bal.rep1,0,0,257,0
ba034.641000806.6m.bal.rep2,0,0,27,0
ba034.641000806.6m.bal.rep3,0,0,0,0
ba036.641000806.6m.bal.rep1,0,0,211,0
ba036.641000806.6m.bal.rep2,0,0,2991,0
ba036.641000806.6m.bal.rep3,0,0,2703,0
ba038.641000802.6w.bal.rep1,0,0,23742,0
ba038.641000802.6w.bal.rep2,0,0,32656,0
ba038.641000802.6w.bal.rep3,0,0,31084,0
ba039.641000802.pw.prewash.rep1,0,0,40,0
ba039.641000802.pw.prewash.rep2,0,0,16,0
ba039.641000802.pw.prewash.rep3,0,0,45,0
ba040.641000802.3m.bal.rep1,0,0,9224,0
ba040.641000802.3m.bal.rep2,0,0,12371,0
ba040.641000802.3m.bal.rep3,0,0,12490,0
ba042.641000802.6m.bal.rep1,0,0,16359,0
ba042.641000802.6m.bal.rep2,0,0,10035,0
ba042.641000802.6m.bal.rep3,0,0,2,0
ba044.641000785.6w.bal.rep1,0,0,25774,0
ba044.641000785.6w.bal.rep2,0,0,9566,0
ba044.641000785.6w.bal.rep3,0,0,24681,0
ba045.641000785.pw.prewash.rep1,0,0,0,0
ba045.641000785.pw.prewash.rep2,0,0,7,0
ba045.641000785.pw.prewash.rep3,0,0,50,0
ba046.641000785.3m.bal.rep1,0,0,709,0
ba046.641000785.3m.bal.rep2,0,0,8432,0
ba046.641000785.3m.bal.rep3,0,0,6,0
ba054.641000773.6m.bal.rep3,0,0,29,0
ba056.641000777.dc.bal.rep1,0,0,0,0
ba056.641000777.dc.bal.rep2,0,0,15935,0
ba056.641000777.dc.bal.rep3,0,0,4691,0
ba057.641000777.pw.prewash.rep1,0,0,295,0
ba057.641000777.pw.prewash.rep2,0,0,15931,0
ba057.641000777.pw.prewash.rep3,0,0,0,0
ba060.641000777.6m.bal.rep1,0,0,58,0
ba060.641000777.6m.bal.rep2,0,0,222,0
ba060.641000777.6m.bal.rep3,0,0,2596,0
ba061.641000771.6w.bal.rep1,0,0,262,0
ba061.641000771.6w.bal.rep2,0,0,3366,0
ba061.641000771.6w.bal.rep3,0,0,109,0
ba062.641000771.pw.prewash.rep1,0,0,0,0
ba062.641000771.pw.prewash.rep2,0,0,37,0
ba062.641000771.pw.prewash.rep3,0,0,3,0
ba063.641000771.3m.bal.rep2,0,0,6,0
ba063.641000771.3m.bal.rep3,0,0,4,0
ba064.641000771.6m.bal.rep1,0,0,279,0
ba064.641000771.6m.bal.rep2,0,0,6,0
ba064.641000771.6m.bal.rep3,0,0,0,0
ba065.641000085.6w.bal.rep1,0,0,837,0
ba065.641000085.6w.bal.rep2,0,0,1087,0
ba065.641000085.6w.bal.rep3,0,0,1101,0
ba066.641000085.pw.prewash.rep1,0,0,76,0
ba066.641000085.pw.prewash.rep2,0,0,1,0
ba066.641000085.pw.prewash.rep3,0,0,26,0
ba067.641000085.3m.bal.rep1,0,0,15452,0
ba067.641000085.3m.bal.rep2,0,0,6018,0
ba067.641000085.3m.bal.rep3,0,0,17609,0
ba068.641000085.6m.bal.rep1,0,0,687,0
ba068.641000085.6m.bal.rep2,0,0,77,0
ba068.641000085.6m.bal.rep3,0,0,0,0
ba069.641000079.dc.bal.rep1,0,0,1276,0
ba069.641000079.dc.bal.rep2,0,0,25489,0
ba069.641000079.dc.bal.rep3,0,0,8518,0
ba070.641000068.dc.bal.rep1,0,0,21166,0
ba070.641000068.dc.bal.rep2,0,0,11241,0
ba070.641000068.dc.bal.rep3,0,0,19805,0
ba071.641000773.dc.bal.rep1,0,0,7247,0
ba071.641000773.dc.bal.rep2,0,0,22696,0
ba071.641000773.dc.bal.rep3,0,0,1056,0
ba072.641000773.dc.bal.rep1,0,0,82,0
ba072.641000773.dc.bal.rep2,0,0,788,0
ba072.641000773.dc.bal.rep3,0,0,807,0
ba073.641000777.6w.bal.rep1,0,0,10923,0
ba073.641000777.6w.bal.rep2,0,0,13337,0
ba073.641000777.6w.bal.rep3,0,0,11442,0
ba074.641000802.dc.bal.rep1,0,0,18,0
ba074.641000802.dc.bal.rep2,0,0,22,0
ba074.641000802.dc.bal.rep3,0,0,0,0
ba075.641000802.6w.bal.rep1,0,0,17364,0
ba075.641000802.6w.bal.rep2,0,0,17485,0
ba075.641000802.6w.bal.rep3,0,0,10107,0
ba076.641000806.dc.bal.rep1,0,0,0,0
ba076.641000806.dc.bal.rep2,0,0,14,0
ba076.641000806.dc.bal.rep3,0,0,7627,0
ba077.641000806.dc.bal.rep1,0,0,5135,0
ba077.641000806.dc.bal.rep2,0,0,8240,0
ba077.641000806.dc.bal.rep3,0,0,11271,0
ba078.641000806.dc.bal.rep1,0,0,7072,0
ba078.641000806.dc.bal.rep2,0,0,9774,0
ba078.641000806.dc.bal.rep3,0,0,4569,0
ba079.641000806.dc.bal.rep1,0,0,12269,0
ba079.641000806.dc.bal.rep2,0,0,19558,0
ba079.641000806.dc.bal.rep3,0,0,2360,0
ba080.641000806.dc.bal.rep1,0,0,69,0
ba080.641000806.dc.bal.rep2,0,0,68,0
ba080.641000806.dc.bal.rep3,0,0,17440,0
ba081.641000806.6w.bal.rep1,0,0,6214,0
ba081.641000806.6w.bal.rep2,0,0,1,0
ba081.641000806.6w.bal.rep3,0,0,23852,0
ba082.641000817.dc.bal.rep1,0,0,12104,0
ba082.641000817.dc.bal.rep2,0,0,6544,0
ba082.641000817.dc.bal.rep3,0,0,978,0
ba083.641000827.dc.bal.rep1,0,0,36,0
ba083.641000827.dc.bal.rep3,0,0,275,0
ba085.641000827.3m.bal.rep1,0,0,9,0
ba085.641000827.3m.bal.rep3,0,0,1,0
ba087.641000827.6m.bal.rep2,0,0,1446,0
ba087.641000827.6m.bal.rep3,0,0,0,0
ba088.641000836.6w.bal.rep1,0,0,17955,0
ba088.641000836.6w.bal.rep2,0,0,0,0
ba088.641000836.6w.bal.rep3,0,0,26531,0
ba089.641000836.pw.prewash.rep1,0,0,79,0
ba089.641000836.pw.prewash.rep2,0,0,54,0
ba089.641000836.pw.prewash.rep3,0,0,1,0
ba090.641000836.3m.bal.rep1,0,0,18348,0
ba090.641000836.3m.bal.rep2,0,0,14757,0
ba090.641000836.3m.bal.rep3,0,0,15178,0
ba091.641000836.6m.bal.rep1,0,0,41989,0
ba091.641000836.6m.bal.rep2,0,0,0,0
ba091.641000836.6m.bal.rep3,0,0,39657,0
ba092.641000840.6w.bal.rep1,0,0,22575,0
ba092.641000840.6w.bal.rep2,0,0,20568,0
ba092.641000840.6w.bal.rep3,0,0,1,0
ba093.641000840.pw.prewash.rep1,0,0,70,0
ba093.641000840.pw.prewash.rep2,0,0,208,0
ba093.641000840.pw.prewash.rep3,0,0,11,0
