sample, p__Spirochaetota, p__WPS-2, p__Methylomirabilota, p__Deinococcota, p__Cyanobacteria, p__Thermoplasmatota, p__Nitrospinota, p__Bdellovibrionota, p__Fusobacteriota, p__Proteobacteria, p__Acidobacteriota,Unassigned_unassigned, p__Euryarchaeota, p__Synergistota, p__Verrucomicrobiota, p__Firmicutes, p__Chloroflexi, p__Patescibacteria, p__WOR-1,d__Archaea_unassigned, p__Armatimonadota, p__Bacteroidota, p__Elusimicrobiota, p__Sumerlaeota, p__Myxococcota, p__Aenigmarchaeota,d__Eukaryota_unassigned, p__Actinobacteriota, p__Asgardarchaeota, p__Thermotogota, p__SAR324_clade(Marine_group_B), p__Nitrospirota, p__Abditibacteriota, p__Dadabacteria, p__Desulfobacterota, p__Campilobacterota, p__Dependentiae, p__Halobacterota, p__Deferribacterota, p__WS2,d__Bacteria_unassigned, p__Fibrobacterota, p__Planctomycetota, p__Gemmatimonadota
B1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B11,0,0,0,0,19,0,0,5,0,81,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B12,0,0,0,0,3,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,0,0,0,0,0,0,0,7,0,182,49,0,0,0,0,38,0,19,0,0,0,20,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,0,0,0,0,2,0,0,0,0,32,0,0,0,0,0,7,0,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2,12,0,0,0,11,0,0,0,0,102,0,0,0,0,0,359,0,0,0,0,0,150,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0
B3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,30,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4,0,0,0,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B8,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B9,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba002.641000068.6w.bal.rep1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba002.641000068.6w.bal.rep2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
